ID,Commercial Name,Type / Version,Other known versions / types,Description,Manufacturer,Media,Manufacturer website,Service Manuals - URL,Source materials / Hazardous Substances,Tools needed to service / repair,Spare parts,Support and Service,End Of Life policy,Repair tutorials / stories,Reuse / Upcycling stories,Second-hand market,Comments / observations
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
